MILF,https://github.com/carlosgprado/MILF
patchdiff2,https://github.com/filcab/patchdiff2
qb-sync,https://github.com/quarkslab/qb-sync
radare2ida,https://github.com/radare/radare2ida
ret-sync,https://github.com/bootleg/ret-sync
solarized_ida,https://github.com/gynophage/solarized_ida
syms2elf,https://github.com/danigargu/syms2elf
vtbl-ida-pro-plugin,https://github.com/nektra/vtbl-ida-pro-plugin
BlackHat_2015,https://github.com/REhints/BlackHat_2015
dockoo,https://github.com/open-nsm/dockoo
dorothy2,https://github.com/m4rco-/dorothy2
HaboMalHunter,https://github.com/Tencent/HaboMalHunter
Leaked_Malware_SourceCode,https://github.com/gasgas4/Leaked_Malware_SourceCode
malelf,https://github.com/tiago4orion/malelf
Malfunction,https://github.com/Dynetics/Malfunction
malSploitBase,https://github.com/misterch0c/malSploitBase
maltrail,https://github.com/stamparm/maltrail
maltrieve,https://github.com/krmaxwell/maltrieve
malware-crawler,https://github.com/robbyFux/Ragpicker
MalwareFragmentationTool,https://github.com/motazreda/MalwareFragmentationTool
malwarehouse,https://github.com/sroberts/malwarehouse
malwareHunter,https://github.com/abdesslem/malwareHunter
malware-jail,https://github.com/HynekPetrak/malware-jail
malware-repo,https://github.com/Tigzy/malware-repo
malzoo,https://github.com/nheijmans/malzoo
MISP,https://github.com/MISP/MISP
netsink,https://github.com/shendo/netsink
PyMal,https://github.com/cysinfo/PyMal
rapid_env,https://github.com/adamkramer/rapid_env
SSMA,https://github.com/secrary/SSMA
theZoo,https://github.com/ytisf/theZoo
VolatilityBot,https://github.com/mkorman90/VolatilityBot
dpkt,https://github.com/kbandla/dpkt
grimd,https://github.com/looterz/grimd
shootback,https://github.com/aploium/shootback
ufonet,https://github.com/epsylon/ufonet
wuzz,https://github.com/asciimoo/wuzz
wycheproof,https://github.com/google/wycheproof
zmirror,https://github.com/aploium/zmirror
luckystrike,https://github.com/Shellntel/luckystrike
MacroJob,https://github.com/JohnLaTwC/MacroJob
oledump-contrib,https://github.com/decalage2/oledump-contrib
oletools,https://github.com/decalage2/oletools
pafishmacro,https://github.com/joesecurity/pafishmacro
vba-dynamic-hook,https://github.com/eset/vba-dynamic-hook
AnalyzePDF,https://github.com/hiddenillusion/AnalyzePDF
barf-project,https://github.com/programa-stic/barf-project
beaengine,https://github.com/BeaEngine/beaengine
capstone,https://github.com/aquynh/capstone
cheat-engine,https://github.com/cheat-engine/cheat-engine
clamav-devel,https://github.com/vrtadmin/clamav-devel
community,https://github.com/volatilityfoundation/community
ConfuserEx,https://github.com/yck1509/ConfuserEx
Detect-It-Easy,https://github.com/horsicq/Detect-It-Easy
keystone,https://github.com/keystone-engine/keystone
metasploit-framework,https://github.com/rapid7/metasploit-framework
osquery,https://github.com/facebook/osquery
paimei,https://github.com/OpenRCE/paimei
processhacker2,https://github.com/processhacker2/processhacker2
R2Gui,https://github.com/Dax89/R2Gui
